method,EpSafe,WorstSeed,Surv,Crash,WinUtil,Downlink,Delivered,Proc/DL,Expired,HiDel,Interv,RT(ms)
Raw RL,0.950,0.500,1.000,0,0.083,1871,2989,3.15,0.522,0.238,0.095,7.21
RL + SAFE_BUDGET,0.925,0.500,1.000,0,0.414,7252,7675,2.70,0.237,0.621,0.356,9.19
RL + SAFE_BUDGET + credit gate,1.000,1.000,1.000,0,0.357,6138,5770,2.16,0.252,0.588,0.470,8.41
Heuristic,0.000,0.000,0.550,18,0.371,5394,6489,4.43,0.318,0.409,0.273,4.70
Heuristic + SB + CG,0.825,0.500,0.825,7,0.074,1319,1010,2.58,0.433,0.313,0.429,2.32
DPP,0.000,0.000,0.000,40,0.588,1497,1702,5.68,0.208,0.462,0.367,7.77
DPP + SB + CG,0.275,0.000,0.275,29,0.101,849,867,2.92,0.399,0.406,0.815,14.78
MPC,0.000,0.000,0.000,40,0.582,1476,1697,5.62,0.208,0.462,0.357,4.90
MPC + SB + CG,0.275,0.000,0.275,29,0.100,831,828,2.94,0.392,0.429,0.820,8.84
Safe Greedy + SB + CG,0.925,0.500,0.925,3,0.301,4734,5494,2.27,0.262,0.515,0.321,4.46
Rule-only Shell (no learned policy),0.325,0.000,0.325,27,0.000,0,0,n/a,0.863,0.000,0.569,1.52
